	question	answer
0	kde najdu informace o prihlasovani prumyslovych prav do zahranici?	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
1	kde najit informace o prihlasovani prumyslovych prav do zahranici?	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
2	kde jsou informace o prihlasovani prumyslovych prav do zahranici?	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
3	jak postupovat pri prihlasovani do zahranici?	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
4	jak podat prihlasku do zahranici?	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
5	jak prihlasit do zahranici?	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
6	prihlasovani do zahranici	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
7	prihlaska do zahranici	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
8	formular zadosti o mezinarodni zapis ochranne znamky.	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
9	zadost o mezinarodni zapis ochranne znamky.	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.
