	answer	class
0	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
1	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
2	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
3	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
4	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
5	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
6	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
7	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
8	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
9	na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim.	0
